400,0.375,0.02,0.02
410,0.625,0.02,0.02
420,0.74,0.02,0.02
430,0.83,0.02,0.02
440,0.92,0.02,0.02
450,0.975,0.02,0.02
460,1,0.02,0.02
470,0.95,0.02,0.02
480,0.72,0.04,0.02
490,0.2,0.25,0.01
500,0.025,0.675,0.02
510,0.01,0.925,0.02
520,0.01,1,0.02
530,0.01,0.98,0.02
540,0.01,0.97,0.02
550,0.01,0.87,0.04
560,0.01,0.625,0.25
570,0,0.25,0.675
580,0,0.05,1
590,0,0.02,1
600,0,0.01,0.875
610,0,0.01,0.7
620,0,0.01,0.525
630,0,0,0.4
640,0,0,0.275
650,0,0,0.2
660,0,0,0.14
670,0,0,0.07
680,0,0,0.05
690,0,0,0.03
700,0,0,0.02
