400,0.355,0.03,0
410,0.625,0.04,0
420,0.875,0.05,0
430,0.96,0.06,0
440,1,0.07,0.01
450,1,0.09,0.01
460,0.97,0.12,0.01
470,0.91,0.175,0.01
480,0.84,0.25,0.01
490,0.7,0.375,0.015
500,0.575,0.51,0.02
510,0.475,0.7,0.02
520,0.375,0.875,0.02
530,0.275,0.975,0.03
540,0.175,1,0.04
550,0.14,0.9,0.05
560,0.12,0.8,0.06
570,0.08,0.64,0.11
580,0.06,0.5,0.16
590,0.04,0.37,0.3
600,0.03,0.26,0.455
610,0.03,0.2,0.52
620,0.03,0.14,0.57
630,0.03,0.12,0.67
640,0.03,0.08,0.76
650,0.03,0.085,0.88
660,0.03,0.09,1
670,0.03,0.09,0.98
680,0.03,0.09,0.96
690,0.05,0.09,0.83
700,0.06,0.09,0.7
