400,0.23,0.02,0.005
410,0.38,0.02,0.005
420,0.52,0.02,0.005
430,0.64,0.025,0.005
440,0.79,0.035,0.005
450,0.89,0.05,0.005
460,0.97,0.075,0.005
470,1,0.14,0.02
480,1,0.2,0.02
490,0.92,0.25,0.02
500,0.83,0.36,0.02
510,0.63,0.58,0.02
520,0.45,0.78,0.02
530,0.28,0.93,0.02
540,0.16,1,0.02
550,0.075,1,0.02
560,0.035,0.94,0.02
570,0.02,0.82,0.02
580,0.005,0.66,0.07
590,0.005,0.48,0.275
600,0.005,0.3,0.55
610,0,0.14,0.8
620,0.005,0.07,0.94
630,0.005,0.04,0.98
640,0.005,0.03,1
650,0.01,0.03,0.99
660,0.01,0.03,1
670,0.01,0.03,0.85
680,0,0.02,0.3
690,0,0.005,0.07
700,0,0,0.025
